"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M","X"
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",NA
"860Z200US60002","ZCTA5 60002","9229","334","4.9","1.6","3.2","1.4","5.1","1.4","5.3","1.3","6.7","2.0","10.3","2.1","11.8","2.5","20.9","2.7","14.9","2.9","17.0","2.6","106176","5107","128025","8050","36.1","(X)","(X)","(X)","(X)","(X)","6498","274","2.2","1.1","2.0","1.4","3.7","2.0","2.4","1.5","6.6","2.4","9.1","2.6","11.0","2.3","23.7","3.4","17.2","3.4","22.2","3.7","123411","5812","149551","11188","(X)","(X)","37.0","(X)","(X)","(X)","4961","277","0.8","0.7","1.0","1.2","1.0","0.9","1.0","0.7","3.7","1.7","7.3","2.1","10.1","2.3","26.8","3.6","20.7","4.4","27.6","4.5","144620","11150","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2731","355","11.5","4.7","5.9","3.1","11.6","3.6","14.2","3.5","5.6","2.6","16.8","5.0","11.9","4.0","14.1","5.0","4.6","2.3","3.8","1.8","51611","9890","67212","6622","(X)","(X)","(X)","(X)","33.0","(X)",NA
"860Z200US60004","ZCTA5 60004","20391","674","3.0","1.0","2.2","1.1","4.0","1.3","3.5","0.9","5.3","1.0","12.8","1.8","10.9","1.4","22.6","2.3","12.9","1.7","22.9","2.0","117720","4338","148960","6723","32.4","(X)","(X)","(X)","(X)","(X)","14176","381","1.4","0.9","1.9","1.5","2.1","0.9","2.2","0.8","3.4","1.0","9.7","1.7","10.0","1.9","21.6","2.1","16.3","2.0","31.3","2.4","144667","6087","177908","8543","(X)","(X)","34.5","(X)","(X)","(X)","12286","432","1.0","0.7","1.7","1.7","1.4","0.9","1.8","0.8","3.2","1.0","7.2","1.5","9.4","1.8","21.2","2.2","17.8","2.3","35.3","2.7","158717","10965","N","N","(X)","(X)","(X)","(X)","(X)","(X)","6215","673","6.9","2.8","3.1","1.7","9.6","4.0","6.4","2.2","9.3","2.5","19.8","4.0","12.8","3.0","23.6","5.8","5.2","2.1","3.3","1.5","68477","7515","80279","7679","(X)","(X)","(X)","(X)","25.9","(X)",NA
"860Z200US60005","ZCTA5 60005","12740","643","4.1","1.4","3.0","1.4","6.3","1.7","4.5","1.5","7.7","1.7","15.3","3.3","10.0","1.9","20.7","2.7","12.6","2.4","15.8","2.5","95765","11446","121977","8358","33.8","(X)","(X)","(X)","(X)","(X)","7519","449","3.2","1.9","0.5","0.5","2.7","1.6","2.7","1.7","8.4","2.6","9.6","3.9","10.5","3.1","22.0","3.3","17.8","3.4","22.6","3.7","123122","8831","151489","11485","(X)","(X)","37.3","(X)","(X)","(X)","6118","498","1.6","1.4","0.7","0.7","2.9","1.9","1.4","0.9","8.0","2.9","7.1","2.4","9.4","3.1","21.9","3.6","19.7","4.0","27.4","4.4","142500","11643","N","N","(X)","(X)","(X)","(X)","(X)","(X)","5221","595","7.0","3.0","6.5","3.4","11.4","3.8","7.2","2.6","7.5","2.3","21.9","6.6","9.9","3.1","17.3","4.2","5.8","2.4","5.4","2.5","61893","4053","76954","7408","(X)","(X)","(X)","(X)","26.8","(X)",NA
"860Z200US60007","ZCTA5 60007","12795","452","3.0","1.1","1.1","0.7","3.8","1.1","5.8","1.9","8.2","1.8","15.3","2.2","16.8","3.1","20.1","3.4","13.0","2.2","12.9","2.1","94051","5879","114293","5797","36.9","(X)","(X)","(X)","(X)","(X)","8822","303","2.4","1.5","0.3","0.4","1.8","0.9","1.4","1.0","6.5","2.4","14.1","3.1","15.8","4.1","23.2","4.3","16.9","3.1","17.6","3.0","117793","9158","134072","7937","(X)","(X)","40.4","(X)","(X)","(X)","7143","391","0.8","0.6","0.0","0.5","1.6","1.1","1.0","0.9","4.9","1.7","10.5","3.1","15.9","4.4","24.8","4.8","19.6","3.4","21.0","3.5","132895","7176","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3973","472","4.4","2.0","2.9","2.0","8.1","2.8","15.4","4.8","13.8","4.0","20.4","3.9","17.7","3.9","12.8","5.2","2.8","1.6","1.6","0.9","55727","5598","65550","5518","(X)","(X)","(X)","(X)","27.9","(X)",NA
"860Z200US60008","ZCTA5 60008","8757","362","2.9","1.4","0.9","0.6","4.3","1.7","6.1","2.6","11.5","3.2","13.5","3.1","15.9","3.8","21.8","3.8","10.2","2.3","12.9","2.6","89205","3052","108563","5250","36.1","(X)","(X)","(X)","(X)","(X)","5976","324","1.6","1.6","1.0","1.1","4.1","2.4","1.8","1.6","8.1","4.1","13.8","4.1","15.3","4.9","25.6","5.0","10.5","2.5","18.2","3.7","104181","3438","126337","7927","(X)","(X)","39.0","(X)","(X)","(X)","4349","343","0.3","0.4","0.4","0.4","2.0","1.3","1.0","1.0","7.9","4.6","10.5","4.4","13.5","4.4","27.6","5.5","13.4","3.3","23.3","4.8","117382","11939","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2781","369","6.0","2.6","2.1","1.8","6.4","3.0","17.0","7.4","15.6","5.8","14.7","5.2","17.7","6.0","9.9","3.7","9.2","4.8","1.4","1.2","52368","9874","66337","6746","(X)","(X)","(X)","(X)","29.9","(X)",NA
"860Z200US60010","ZCTA5 60010","16901","555","3.2","1.0","0.9","0.4","2.5","0.9","3.0","1.1","4.5","1.3","8.1","2.0","7.2","1.4","14.3","1.9","15.2","2.5","41.2","3.0","170505","5772","217138","11128","35.1","(X)","(X)","(X)","(X)","(X)","13627","533","1.2","0.6","0.6","0.4","1.5","0.9","1.4","0.8","2.7","0.9","6.8","1.9","6.4","1.6","13.7","2.0","17.0","2.9","48.7","3.6","195137","12936","246129","13190","(X)","(X)","34.9","(X)","(X)","(X)","11865","559","1.0","0.7","0.6","0.4","0.7","0.4","1.1","0.8","2.3","0.9","5.4","1.3","6.4","1.7","13.1","2.2","16.5","2.2","53.0","3.4","210057","9144","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3274","411","11.9","4.5","1.8","1.2","7.5","3.4","9.4","4.9","12.2","6.2","14.5","4.8","10.3","3.9","16.5","4.8","6.5","2.9","9.4","2.9","60662","16767","92848","10209","(X)","(X)","(X)","(X)","34.9","(X)",NA
"860Z200US60012","ZCTA5 60012","3953","252","1.7","1.2","2.0","1.3","1.6","0.8","3.6","2.4","3.9","1.8","7.2","2.4","7.4","2.4","22.2","4.9","18.4","4.0","32.0","5.8","150320","15154","185509","17738","23.3","(X)","(X)","(X)","(X)","(X)","3274","283","1.6","1.3","1.5","1.3","0.9","0.5","1.8","2.2","1.6","1.2","6.4","2.6","6.0","2.2","23.8","5.7","20.4","4.6","36.0","6.6","160543","19970","201005","19465","(X)","(X)","23.5","(X)","(X)","(X)","2935","282","1.3","1.3","1.7","1.4","0.5","0.5","1.5","2.3","1.2","1.1","4.8","2.4","4.6","1.9","23.3","6.0","21.5","5.1","39.6","7.3","172802","19815","N","N","(X)","(X)","(X)","(X)","(X)","(X)","679","140","4.0","3.2","4.3","3.7","5.4","4.2","12.2","8.9","15.5","8.8","15.2","8.8","14.4","7.6","10.8","6.3","8.5","6.9","9.7","6.6","66250","11619","102066","27561","(X)","(X)","(X)","(X)","20.6","(X)",NA
"860Z200US60013","ZCTA5 60013","9495","435","2.7","0.9","2.3","1.3","2.8","0.9","3.7","1.5","5.5","1.8","11.8","3.0","14.0","2.5","20.9","2.8","16.4","2.6","19.9","2.5","114055","9799","141865","7732","27.6","(X)","(X)","(X)","(X)","(X)","7025","369","1.2","1.0","0.8","0.6","1.3","1.0","2.7","1.7","3.4","1.4","10.2","2.3","14.4","2.5","24.0","3.3","19.4","3.2","22.4","3.3","130412","8610","157783","9783","(X)","(X)","29.0","(X)","(X)","(X)","5904","413","0.3","0.5","0.3","0.4","1.6","1.1","1.6","1.1","2.8","1.5","9.0","2.4","11.9","2.5","25.1","3.8","22.1","3.7","25.4","3.7","143580","8154","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2470","384","7.3","3.2","7.3","4.6","6.8","2.9","6.2","3.2","12.6","5.9","18.0","8.7","14.3","5.5","11.1","4.6","7.5","3.5","8.9","4.5","54784","19083","88544","13954","(X)","(X)","(X)","(X)","22.5","(X)",NA
"860Z200US60014","ZCTA5 60014","17566","530","3.4","1.0","1.4","0.6","2.4","0.9","4.7","1.3","7.3","1.4","17.2","2.1","12.7","1.7","22.0","2.4","13.8","2.5","15.2","1.5","102530","5682","125790","5155","31.8","(X)","(X)","(X)","(X)","(X)","13354","472","2.4","1.1","0.5","0.4","1.2","0.8","3.2","1.3","6.6","1.4","15.5","2.6","12.1","1.9","24.6","2.9","15.4","2.7","18.5","1.7","116021","4514","138404","5387","(X)","(X)","33.0","(X)","(X)","(X)","11101","484","1.2","0.7","0.1","0.1","1.0","0.9","1.8","1.2","4.9","1.2","14.2","2.8","11.4","1.8","25.9","3.3","17.7","3.1","21.5","2.1","126281","4949","N","N","(X)","(X)","(X)","(X)","(X)","(X)","4212","431","7.2","2.9","3.9","2.4","6.8","2.8","10.2","3.4","9.3","2.7","24.3","4.8","15.2","3.9","12.3","3.3","7.2","4.1","3.4","1.8","62455","6429","76731","8288","(X)","(X)","(X)","(X)","27.2","(X)",NA
