"Zip Code","Name","Accounts","EIEC","S1901_C01_001E","S1901_C01_012E"
"60001","Alden, IL",2,"n",NA,NA
"60002","Antioch, IL",11160,"n","9229","106176"
"60004","Arlington Heights, IL",22638,"n","20391","117720"
"60005","Arlington Heights, IL",14626,"n","12740","95765"
"60006","Arlington Heights, IL",1,"n",NA,NA
"60007","Elk Grove Village, IL",17340,"y","12795","94051"
"60008","Rolling Meadows, IL",10050,"n","8757","89205"
"60010","Barrington, IL",19168,"n","16901","170505"
"60011","Barrington, IL",2,"n",NA,NA
"60012","Crystal Lake, IL",3848,"n","3953","150320"
"60013","Cary, IL",9932,"n","9495","114055"
"60014","Crystal Lake, IL",19826,"n","17566","102530"
"60015","Deerfield, IL",11093,"n","10214","181111"
"60016","Des Plaines, IL",25954,"n","24263","80116"
"60018","Des Plaines, IL",12029,"y","9724","75528"
"60020","Fox Lake, IL",5560,"n","5150","65099"
"60021","Fox River Grove, IL",2322,"n","1987","116626"
"60022","Glencoe, IL",3414,"n","2993","227279"
"60025","Glenview, IL",17624,"n","15989","116809"
"60026","Glenview, IL",5374,"n","5608","145533"
"60029","Golf, IL",176,"n","194","228750"
"60030","Grayslake, IL",15871,"n","14311","102436"
"60031","Gurnee, IL",16399,"n","14331","108424"
"60033","Harvard, IL",5646,"n","4902","69619"
"60034","Hebron, IL",987,"n","698","90938"
"60035","Highland Park, IL",13793,"n","12098","159519"
"60039","Crystal Lake, IL",64,"n",NA,NA
"60040","Highwood, IL",2149,"y","1904","105282"
"60041","Ingleside, IL",4062,"n","3570","86406"
"60042","Island Lake, IL",3482,"n","3113","89660"
"60043","Kenilworth, IL",929,"n","789","250,000+"
"60044","Lake Bluff, IL",4700,"n","4334","114831"
"60045","Lake Forest, IL",9002,"n","7573","201847"
"60046","Lake Villa, IL",13372,"n","12086","121099"
"60047","Lake Zurich, IL",15769,"n","14866","167358"
"60048","Libertyville, IL",12714,"n","10633","166229"
"60050","McHenry, IL",14312,"n","12825","84330"
"60051","McHenry, IL",10036,"n","9171","99854"
"60053","Morton Grove, IL",9802,"n","9166","102940"
"60056","Mount Prospect, IL",24040,"n","22084","100850"
"60060","Mundelein, IL",14242,"n","13390","104405"
"60061","Vernon Hills, IL",11352,"n","10608","118371"
"60062","Northbrook, IL",17734,"n","16566","136120"
"60064","North Chicago, IL",5683,"y","5390","45030"
"60065","Northbrook, IL",1,"n",NA,NA
"60067","Palatine, IL",19800,"n","15294","122691"
"60068","Park Ridge, IL",16009,"n","15211","138196"
"60069","Lincolnshire, IL",3239,"n","3616","147267"
"60070","Prospect Heights, IL",6789,"n","6230","84054"
"60071","Richmond, IL",2035,"n","1800","71471"
"60072","Ringwood, IL",449,"n","350","134167"
"60073","Round Lake, IL",19779,"n","19333","88279"
"60074","Palatine, IL",14923,"y","14237","78287"
"60076","Skokie, IL",13730,"n","11462","100786"
"60077","Skokie, IL",12917,"y","10919","77826"
"60081","Spring Grove, IL",3836,"n","3269","113978"
"60083","Wadsworth, IL",3129,"n","3556","106600"
"60084","Wauconda, IL",7438,"n","6387","99957"
"60085","Waukegan, IL",26186,"n","24590","58843"
"60087","Waukegan, IL",10636,"n","9698","75691"
"60088","Great Lakes, IL",2,"n","1332","57143"
"60089","Buffalo Grove, IL",18095,"n","15731","127537"
"60090","Wheeling, IL",16997,"y","15462","80060"
